Date,Cases
2014-05-18,1
2014-05-20,1
2014-05-20,1
2014-05-21,1
2014-05-21,1
2014-05-21,1
2014-05-21,1
2014-05-22,1
2014-05-22,1
2014-05-22,1
2014-05-22,1
2014-05-22,1
2014-05-22,1
2014-05-23,1
2014-05-24,1
2014-05-24,1
2014-05-26,1
2014-05-26,1
2014-05-26,1
2014-05-26,1
2014-05-26,1
2014-05-26,1
2014-05-26,1
2014-05-26,1
2014-05-26,1
2014-05-26,1
2014-05-27,1
2014-05-27,1
2014-05-27,1
2014-05-27,1
2014-05-27,1
2014-05-27,1
2014-05-27,1
2014-05-27,1
2014-05-28,1
2014-05-28,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-29,1
2014-05-30,1
2014-05-30,1
2014-05-30,1
2014-05-30,1
2014-05-30,1
2014-05-30,1
2014-05-30,1
2014-05-31,1
2014-05-31,1
2014-06-01,1
2014-06-01,1
2014-06-01,1
2014-06-01,1
2014-06-01,1
2014-06-02,1
2014-06-02,1
2014-06-03,1
2014-06-05,1
2014-06-05,1
2014-06-05,1
2014-06-06,1
2014-06-06,1
2014-06-06,1
2014-06-06,1
2014-06-06,1
2014-06-06,1
2014-06-06,1
2014-06-07,1
2014-06-07,1
2014-06-07,1
2014-06-07,1
2014-06-08,1
2014-06-08,1
2014-06-08,1
2014-06-08,1
2014-06-08,1
2014-06-08,1
2014-06-09,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-10,1
2014-06-11,1
2014-06-12,1
2014-06-12,1
2014-06-12,1
2014-06-12,1
2014-06-12,1
2014-06-12,1
2014-06-12,1
2014-06-12,1
2014-06-12,1
2014-06-12,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-13,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-14,1
2014-06-15,1
2014-06-15,1
2014-06-15,1
2014-06-15,1
2014-06-16,1
2014-06-17,1
2014-06-17,1
2014-06-17,1
2014-06-17,1
2014-06-18,1
2014-06-18,1
2014-06-18,1
2014-06-18,1
2014-06-18,1
2014-06-18,1
2014-06-18,1
2014-06-18,1
2014-06-19,1
2014-06-19,1
2014-06-19,1
2014-06-19,1
2014-06-19,1
2014-06-19,1
2014-06-19,1
2014-06-19,1
2014-06-19,1
2014-06-19,1
2014-06-19,1
2014-06-20,1
2014-06-20,1
2014-06-20,1
2014-06-20,1
2014-06-20,1
2014-06-20,1
2014-06-20,1
2014-06-20,1
2014-06-20,1
2014-06-21,1
2014-06-21,1
2014-06-21,1
2014-06-22,1
2014-06-22,1
2014-06-22,1
2014-06-23,1
2014-06-23,1
2014-06-24,1
2014-06-24,1
2014-06-24,1
2014-06-24,1
2014-06-24,1
2014-06-24,1
2014-06-24,1
2014-06-24,1
2014-06-24,1
2014-06-25,1
2014-06-25,1
2014-06-25,1
2014-06-25,1
2014-06-25,1
2014-06-25,1
2014-06-25,1
2014-06-25,1
2014-06-25,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-26,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-27,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-28,1
2014-06-29,1
2014-06-29,1
2014-06-29,1
2014-06-29,1
2014-06-29,1
2014-06-29,1
2014-06-29,1
2014-06-29,1
2014-06-29,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-06-30,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-01,1
2014-07-02,1
2014-07-02,1
2014-07-02,1
2014-07-02,1
2014-07-02,1
2014-07-02,1
2014-07-02,1
2014-07-02,1
2014-07-02,1
2014-07-02,1
2014-07-02,1
2014-07-03,1
2014-07-03,1
2014-07-03,1
2014-07-03,1
2014-07-04,1
2014-07-04,1
2014-07-04,1
2014-07-04,1
2014-07-04,1
2014-07-04,1
2014-07-04,1
2014-07-04,1
2014-07-04,1
2014-07-04,1
2014-07-04,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-05,1
2014-07-06,1
2014-07-06,1
2014-07-06,1
2014-07-06,1
2014-07-06,1
2014-07-06,1
2014-07-06,1
2014-07-06,1
2014-07-06,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-07,1
2014-07-08,1
2014-07-08,1
2014-07-08,1
2014-07-08,1
2014-07-08,1
2014-07-08,1
2014-07-08,1
2014-07-08,1
2014-07-08,1
2014-07-08,1
2014-07-08,1
2014-07-09,1
2014-07-09,1
2014-07-09,1
2014-07-09,1
2014-07-09,1
2014-07-09,1
2014-07-09,1
2014-07-09,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-10,1
2014-07-11,1
2014-07-11,1
2014-07-11,1
2014-07-11,1
2014-07-11,1
2014-07-11,1
2014-07-11,1
2014-07-11,1
2014-07-12,1
2014-07-12,1
2014-07-12,1
2014-07-12,1
2014-07-12,1
2014-07-12,1
2014-07-12,1
2014-07-13,1
2014-07-13,1
2014-07-13,1
2014-07-13,1
2014-07-14,1
2014-07-14,1
2014-07-14,1
2014-07-14,1
2014-07-14,1
2014-07-14,1
2014-07-14,1
2014-07-15,1
2014-07-15,1
2014-07-15,1
2014-07-15,1
2014-07-15,1
2014-07-16,1
2014-07-16,1
2014-07-16,1
2014-07-16,1
2014-07-16,1
2014-07-16,1
2014-07-16,1
2014-07-17,1
2014-07-17,1
2014-07-17,1
2014-07-17,1
2014-07-17,1
2014-07-17,1
2014-07-17,1
2014-07-17,1
2014-07-18,1
2014-07-18,1
2014-07-18,1
2014-07-18,1
2014-07-18,1
2014-07-18,1
2014-07-18,1
2014-07-18,1
2014-07-18,1
2014-07-18,1
2014-07-19,1
2014-07-19,1
2014-07-19,1
